ds,y
2024-01-01,120
2024-01-02,118
2024-01-03,125
2024-01-04,130
2024-01-05,140
2024-01-06,155
2024-01-07,160
2024-01-08,122
2024-01-09,119
2024-01-10,127
2024-01-11,132
2024-01-12,142
2024-01-13,158
2024-01-14,165
2024-01-15,125
2024-01-16,121
2024-01-17,129
2024-01-18,134
2024-01-19,145
2024-01-20,160
2024-01-21,168
2024-01-22,128
2024-01-23,124
2024-01-24,131
2024-01-25,136
2024-01-26,148
2024-01-27,162
2024-01-28,170
2024-01-29,130
2024-01-30,126
2024-01-31,133
2024-02-01,138
2024-02-02,150
2024-02-03,165
2024-02-04,172
2024-02-05,132
2024-02-06,128
2024-02-07,135
2024-02-08,140
2024-02-09,152
2024-02-10,168
2024-02-11,175
2024-02-12,134
2024-02-13,129
2024-02-14,137
2024-02-15,142
2024-02-16,155
2024-02-17,170
2024-02-18,178
2024-02-19,135
2024-02-20,131
2024-02-21,139
2024-02-22,144
2024-02-23,157
2024-02-24,172
2024-02-25,180
2024-02-26,138
2024-02-27,133
2024-02-28,141
2024-02-29,146
2024-03-01,160
2024-03-02,175
2024-03-03,183
2024-03-04,140
2024-03-05,135
2024-03-06,143
2024-03-07,148
2024-03-08,162
2024-03-09,178
2024-03-10,185
2024-03-11,142
2024-03-12,137
2024-03-13,145
2024-03-14,150
2024-03-15,165
2024-03-16,180
2024-03-17,188
2024-03-18,144
2024-03-19,139
2024-03-20,147
2024-03-21,152
2024-03-22,168
2024-03-23,183
2024-03-24,190
2024-03-25,146
2024-03-26,141
2024-03-27,149
2024-03-28,154
2024-03-29,170
2024-03-30,185
2024-03-31,193
2024-04-01,148
2024-04-02,143
2024-04-03,151
2024-04-04,156
2024-04-05,172
2024-04-06,188
2024-04-07,195
2024-04-08,150
2024-04-09,145
2024-04-10,153
2024-04-11,158
2024-04-12,175
2024-04-13,190
2024-04-14,198
2024-04-15,152
2024-04-16,146
2024-04-17,155
2024-04-18,160
2024-04-19,178
2024-04-20,193
2024-04-21,200
2024-04-22,154
2024-04-23,148
2024-04-24,157
2024-04-25,162
2024-04-26,180
2024-04-27,195
2024-04-28,203
2024-04-29,156
2024-04-30,150
2024-05-01,159
2024-05-02,164
2024-05-03,182
2024-05-04,197
2024-05-05,205
2024-05-06,158
2024-05-07,152
2024-05-08,161
2024-05-09,166
2024-05-10,185
2024-05-11,200
2024-05-12,208
2024-05-13,160
2024-05-14,154
2024-05-15,163
2024-05-16,168
2024-05-17,188
2024-05-18,202
2024-05-19,210
2024-05-20,162
2024-05-21,156
2024-05-22,165
2024-05-23,170
2024-05-24,190
2024-05-25,205
2024-05-26,213
2024-05-27,164
2024-05-28,158
2024-05-29,167
2024-05-30,172
2024-05-31,192
2024-06-01,208
2024-06-02,215
